uniqueID,drugName,condition,rating,date,usefulCount,review
28,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42331,17,I got this shot about and a half months ago I have not stopped bleeding spotting from the first day i got it not even for a day Im a surgeons first nurse so im on my feet all day and every now and again i get cramps along with it My Dr did tell me that the irregularities would be stopping after another dose or which mean i would have to wait about months to some see dry panties NO
29,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42330,26,I got the depo shot in the later part of September October I didnt have a period Comes November the th I had a brown discharge the second week it was my period and now I am still spotting days later I see why you have a quotdecreased sex drivequot you cant have sex Im definitely not getting my second shot Would I recommend this to anyone Ummmm NO
30,Medroxyprogesterone,Endometrial Hyperplasia Prophylaxis,9,42327,6,I had hyperplasia last year as well as endometriosis which I had surgery for First I was prescribed the prometrium pills Had great effects Stopped taking that and was irregular again Then I started bleeding and didnt stop for days and it was heavy We decided on the shot because I wanted added birth control I suffer from bipolar disorder and anything with estrogen is horrid days after the shot I stopped bleeding Some mild cramping a bit moody and weird dreams but overall great I think it works best if you are lacking progesterone
31,Medroxyprogesterone,Birth Control,1,42327,0,Im currently on the depo shot I had my baby in August and started the shot in Mid September Since then I have been bleeding non stop everyday Thats s lot of sanitary products to keep purchasing I also gained weight and it looks like Im pregnant again I was losing the pregnancy weight before taking the shot So far I gained lbs You have no sex lids because your constantly spotting and bleeding I WOULD NOT recommend this method
34,Medroxyprogesterone,Birth Control,1,42326,3,Will never ever ever ever get back on this Caused HORRIBLE depression terrible weight gain and basically got every side effect this drug can cause Wouldnt wish this drug on my worst friend AND it effects your fertility for up to a year which I wasnt told Good thing Im trying to have a baby now
35,Medroxyprogesterone,Birth Control,1,42326,0,You think that getting a shot is going to make your life easy yea right I am years old and had been on the pill for years due to my high blood pressure they put me on the shot go figure I got a shot on May I weighed lb mind you I am tall quot I had no real side effects come for the next shot I was a ten pound increase I dont eat junk food I got horrible headaches stomach cramps and horrible mood swings mostly anger Now here into Nov and I am and have pregant belly and no period since the May Do not do it
37,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42326,1,I got one dose of the Depo shot May Two months after getting the shot I had spotting here amp there Its November now amp for the past months Ive had spotting almost everyday painful sex no sex drive fatigue always hungry amp Ive gained weight like crazy I get irritated very easily amp get mood swings Lately Ive been bleeding heavily its annoying I have an appointment in months to see whats going on amp I was told the depo shot isnt suppose to stop your periods until nd or rd shot The only reason I got the depo was because my period was horrible it was heavy the whole time amp the cramps were unbearable I most definitely DONT recommend the Depo shot
38,Medroxyprogesterone,Endometriosis,9,42325,14,Ive been on depo for almost two years now and have not had a period since i got the injection i no longer have the debilitating cramps that i would get each month which is a godsend after im first given the shot i have about days of being a little more emotional than usual but its usually due to my hormones being balanced and changing a little but it just means a bit of crying and basically how i used to be emotionally before a period i have noticed that some nights i wake up with a really extreme cramp out of nowhere but i believe that that might be an issue thats more to due with my hormone levels etc either way depo has definitely spared me from weeks spent in bed because of the painful cramps
39,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42324,25,Hate it never getting another shot Ive had two and Im not getting my next one Im continuously spotting then bleeding and when I have sex theres no sex drive like I have to force myself to do it I hate it never again
41,Medroxyprogesterone,Birth Control,10,42323,6,I used the depo injection for years and loved it After years is when I experienced the side of effects My period went from days days to constant bleeding I didnt want any more kids so went through a procedure that took care of my issue Overall I was very happy with the injection
42,Medroxyprogesterone,Birth Control,5,42323,3,I was told by my provider this was a great option since Im horrible with taking pills I wanted to lose weight and I didnt want a period so I got it Ive been on it months and I havent stopped bleeding for days today HUGE clots started coming out and the cramps Omg theyre terrible Ive been so deppressed and have had no sex drive I will never use this form of birth control again Ive been eating paleo for a week and am pretty sure Im heavier then when I ate junk food I do not recommend at all
44,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42322,15,I received the depo shot right after I had essure surgery to block my tubes in I got my period about two weeks later and I never stopped bleeding for months I saw my doctor and she put me on hormone therapy did a DampC and I still continued to bleed By this time I was going through pads every hour I had to get up at night and change the bed sheets I was sent to the lab to have my blood drawn My red blood cell count was at Normal count for an adult woman is I was sent immediately to the hospital where I had two blood transfusions and a hysterectomy To this day my doctor doesnt know why I bled so much I keep telling her it was the depo shot and she continues to say I dont think that was it Dont Get the shot
45,Medroxyprogesterone,Birth Control,5,42322,12,So I just got my first depo shot today November Reading everyones experiences amp starting to freak out a little Hope I have an excellent one Only thing bothering me is the injection spot is sore Thats normal but I will definitely be posting updates so far so good
46,Medroxyprogesterone,Birth Control,9,42321,4,Ive taken shots so far and overall have had a very positive experience I had preeclampsia with both my babies so after my week pp visit my OB was concerned that taking the pill may affect and raise my blood pressure After the first shot I had an irregular period and bled off and on very lightly for about weeks After that I have not gotten it again and its awesome by the way The only other side effects that I have had besides the initial irregular bleeding is mild cramping off and on and I can see a difference in my temper I have definitely had some mood swings Overall it is working great for me and I would recommend giving it a shot pun intended
47,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42321,7,At first when I took the shot my life was good Just recently oct th I was due for another one weeks before the th I started to spot Ok I though because I was due soon It is now Nov th and still bleeding Due for another shot Dec I am so over it It will spot for awhile and then get heavy for about minutes I am so disgusted
52,Medroxyprogesterone,Birth Control,10,42374,5,I have had nothing but a great experience on this contraception Ive been on it for years with no side effects The pill was too cumbersome for me as I would forget or take late so the depo was the alternative I have never had a period when on it and will stay on it for that reason alone
55,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42373,5,So Ive been on depo provera for about a year and two months and there is positives to it but then there is also the negatives The first time I got the shot I bled for two months but its gotten lighter each shot and getting shorter for spotting and the periods going from two months to weeks Everytime I get the shot my period disappears for a while and then spotting will happen Im giving it a couple more times and if the periods dont die down then well Im stopping PostivesPeriods are getting shorter and I dont really have to worry till it gets close to my shotNo weight gain actually only a couple poundsNo cramps at allThe negativesWhen the periods start moodiness is horriblePeriod starting Spotting Tiny bit of bloating
58,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42371,13,I got on the shot July th Two weeks after I got the shot I had my period and it has been six months of me bleeding nonstop I would bleed heavy some days and light other days but not once have I went a day without bleeding Doctor keeps telling me its normal and I know it cant be My back hurts so bad sometimes I cant stand straight and these contractions I mean cramps are worse than my pregnancy Im an excercizing maniac and I still can not get rid of my lower stomach and I have a personal trainer Refuse to do the third shot
59,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42368,9,I got the shot and never stopped bleedingdischarging the entire months I was on it I refused to take the nd shot and after about a week after I was supposed to get it the bleeding started again I figured it was my normal period trying to kick back in but I continue to bleed to this day Itll be ridiculously heavy for a week then barely nothing for a few days then itll be ridiculously heavy again I got it in August and Im sure its the reason for why Ive been bleeding consistently for this last past month My period has never been irregular or anything Im so aggravated I feel disgusting and I cant enjoy everyday things without having to worry about whether or not Im gonna be bleeding through everything
60,Medroxyprogesterone,Birth Control,5,42366,4,I was told that I had to get two shots or else it could be potentially dangerous to be taken off of the shot Three months later and a ton of anxiety attacks and bleeding Im in the office going back on my pill The worst thing I couldve ever possibly done to myself was this shot
61,Medroxyprogesterone,Birth Control,1,42365,3,Depo shot I want to start of by saying that I know birth control affects everyone differently But I also feel that many girls arent truly warned about the side affects Before receiving the month depo shot I had to sign a form for bone loss But I did not have to sign a form about all the side effects that plagued me while on this shot and for months after An hour after receiving the depot shot I experienced my first panic attack Extreme fear nausea choking sweating all out of nowhere Then it happened again several hours later I took the shot only once Its been six months since I received the shot and Im now having another panic attack No one actually tells you that the depot shot remains in your system for up to months This doesnt even come close to the worst of it A month after my depo shot I started my period My period went from July to October NONSTOP Continual flow every day for five months It finally stopped when I ate a bunch of fresh ground flax seeds they have estrogen in them which helps repair uterine lining depo is progesterone which thins the uterine lining I only received one shot and my life has been affected for six months and counting Its amazing that my relationship survived the depot shot I hadhave an amazing man by my side who knew none of this was my fault and supported me the whole way But I truly could not have judged him if he left depo was horrible for our relationship Please please decide if these risks are worth it before you take this shot You cant remove it from your body but you can stop taking the pill if you react negatively
62,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42365,1,Im I started depo in April I was bleeding off and on big blood clots and I didnt take the second one Now its December I stop bleeding then it started again but now Im light bleeding and I only took depo shot
63,Medroxyprogesterone,Birth Control,1,42362,4,Very effective for birth control But the side effects are bled for two weeks non stop Going through depression horrible mood swings Would not recommend or reuse This is my first time getting it amp my last
66,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42359,17,I first got the shot back in September everything was fine I loved it no period It was awesome But at the end of November spotting started happening every day Different colors sometimes very heavy and then light clotted and here recently it has been going back and forth from a dark brown to a purple color and I do mean purple I have not gained any weight on this shot Ive actually lost pounds since October Reading other reviews I will not be going back for my second shot
67,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42358,8,weeks after giving birth to my son I chose to get depo I been bleeding on and off for months quot IM SO OVER THIS quot my side effects are being moody at times and Im losing my hair ladys your not the only one You have the right to switch up on your birth control
68,Medroxyprogesterone,Birth Control,1,42357,4,I am now part way through my rd shot of this injection Im and have had pretty much constant bleeding for the past months with only a few weeks of no bleeding I feel shattered constantly and have no energy The main way that its protected me from pregnancy is that I havent been able to even have sex due to constant bleeding This experience has been a nightmare for me its been painful and Ive felt rough and low the whole time I wouldnt recommend this at all as any side effects last for the months that it stays in your system
69,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42356,11,First time trying the shot I got the shot in September and everything was fine I have never had regular periods as far as coming when they should So I thought I would never have a period again November th comes around and Im spotting On the th my period comes I have been spotting different colors also Not to mention the stomach and back pains This whole process has been going on for weeks I know the pill gives you regular monthly periods which is something Id rather deal with Cant wait to switch back to the pill No nd shot for me
71,Medroxyprogesterone,Birth Control,1,42355,0,This shot was great the first month The second and third month I bled the entire time Im on day of continuous bleeding
72,Medroxyprogesterone,Birth Control,8,42355,0,I have been on the depo shot for about years now It has been amazing not having a period for years no cramps spotting or anything After I got my first shot I did have my period for a few months and it was heavy Once that passed I never had a period again I would really recommend the shot to anyone Downsides it costs me about every three months because my insurance doesnt cover it it also may have caused me to gain weight but I cant be sure of that
74,Medroxyprogesterone,Birth Control,10,42353,5,I had to write a review because most people go out of there way only to write one after a bad reaction but everyone is different I used depo for FIVE years and loved it Skin was perfect never gained weight in fact it seemed like I almost couldnt gain weight haha and my emotions were totally level I never had a period either Because it can effect your bone density I decided to switch to another birth control HATED my life I gained weight had chronic fatigue quotmorning sicknessquot severe depression This was from nexplanon I have since been off birth control and regulating my body Before I was on depo I took the pill which made me so sick everyday now that Im in a relationship Im returning to depo
77,Medroxyprogesterone,Birth Control,1,42319,2,Have been on depo for probably around years since I was I chose the injection for convience and to help with my periods as they are heavy and extremely painful often making me vomit from excessive pain First year of being on depo was ok would still always spot and would always get a period before my months was up I swapped backw to the pill for two months then went back to the depo because I was forgetting to take my pill and did want to risk pregnancy Going back onto the injection was the worst decision I could have made I have been back on it for at least months and I bleed after months for about weeks and currently I have been bleeding for over months Never getting this shot again
78,Medroxyprogesterone,Birth Control,2,42319,2,The shot was my first experience and method of birth control I was scared the most of the weight gain more then anything else After reading reviews on different birth controls and peoples experiences with it I couldnt bare the fact of gaining so much weight After having the shot gaining weight wasnt an issue with me i actually lost weight it was my hormones and emotions were crazy For months my mood swings were unbarreable It ruined relationships with me and my boyfriend It made me very depressed and sad causing me to major outbreaks Now that I am off it i feel so much more calm and like myself Worst months of my life The only good thing was my nauesa wasnt too bad and i only got my period twice
80,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42317,6,I had gone to my obgyn for my week postpartum check up She discussed the different options for birth control Since I am Breast feeding I wanted to make sure I chose an estrogen free method So the depo shot would do I thought since its good for months After the first weeks of being on the shot I started spotting for weeks and then the bleeding got heavier and heavier I also felt like I was getting weaker and feeling more tired than ever I would not recommend the depo shot and Im going to just take the pill next time around
81,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42317,4,Took the shot for three years and it was horrible I started taking the depo shot for veey heavy bleesing The firat shot worked amazing and stopped the bleeding after about ten minutes taking it But it all went down hill from there I would bleed for months until it was time to take the shot again then I would stop for two weeks and it would start all over again Now I have two kids and I tried the shot again since your body changes every time you have a baby Well nothing has changed so I called my OB office and am now switching to a different type of BC I do not recommend this depo shot for anyone
82,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42316,19,Depo stopped my period when I got my first shot Almost a week later I started spotting I had been consistently spotting for about three weeks Then I just started bleeding more It wasnt bad but its progressively gotten heavier with large clots Been over days now Ive had headaches acne increased appetite no sex drive painful sex fatigue chills abnormal bleeding Worse decision Ive ever made
83,Medroxyprogesterone,Birth Control,7,42316,4,I started the shot in th grade before high school Im now a junior and considering a different method I was pounds for a few years before I started Now Im and still climbing The hormones make me feel hungry all the time Joining a fitness club for a year did not help either I feel moody often and sad It did a great job of protecting me and preventing pregnancy I barely have a period and when it does come it seems to be off and on for about weeks For anyone considering this just be careful of what you eat and make sure your already exercising Dont listen to your brain telling you that your hungry listen to your stomach
84,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42314,8,Got my first shot May it didnt seem to make me feel funny etc In early July I had my first period the cramps were so bad I left work early August I started my period August th i got my shot still bleeding to this day Its been almost months and I am still bleeding It sucks My sex drive is completely gone No wonder its effective constsntly bleeding and guys disgust you lol I do not recommend this product but each woman is different Im also going to try Mirena if the bleeding ever stops
85,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42313,7,I dont recommend this shot to any female whatsoever its the worst thing you could do to yourself Im years old amp Ive been on the shot for about years now Im not using the shot had actual birth control just for controlling my period amp the awful cramping I would get When I first got my shot I was bleeding for a few months straight but then I never got a period AGAIN Two days ago I was laying in bed when I got God awful cramps amp I know these cramps for anywhere Im bleeding a bit which is reddish brown but only when I wipe amp these cramps are horrible My mood swings have been terrible with this shot amp the weight gain is ridiculous I wont be getting my next shot in January its not worth it I hope the cramps stop soon
86,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42313,11,I got my first shot Aug I started bleeding Aug its lasted for two weeks then I was off two weeks Then I started bleeding September th and I didnt stop bleeding until I got my nd shot Oct BESIDES the bleeding it is very good on birth control I read a lot of experiences on how woman got their first shot and bled a lot and didnt go back to get the next one My doctor told me that will make you bleed even more in making the decision to get the shot be aware you might bleed a little more than usual but in due time around the nd or rd shot you will stop bleeding period I havent bled since I got the nd shot and Im hoping it stays this way
87,Medroxyprogesterone,Birth Control,1,42313,3,I was on depo for only a few months I will say your better off being pregnant You feel every symptom of pregnancy and even get a prego tummy Seriously everyone asks me if I am pregnant Its so embarrassing The symptoms are the worst Ive had the worst acne break out Pains in my stomach I cant stop gaining weight in my stomach Good news is it does prevent pregnancy but its honestly not worth everything you go through Like those weird medications that say you may die but its effective All I am saying is depo will change your life and in a not so lucky way I would have rather of just been pregnant Instead I look and feel pregnant with no baby Mind you I am a skinny person very petite its extremely noticeable
88,Medroxyprogesterone,Birth Control,8,42311,8,My experience with Depo has been wonderful I had horrible cramps and long heavy periods before I started the shot After about months I stopped having a period at all which was great No surprises Also I lost about pounds on it I was previously on ortho tri cyclin lofe The pills made me gain weight the weight loss without trying was fabulous I dont feel tired or achey The only negative was I have had some acne return its nothing that a touch of makeup cant fix But from having blemish free skin to a few pimples is a little annoying I will continue to stay on the shot until I decided to start thinking about having kids Until then Ill deal with a couple pimples and enjoy my skinny period free life
89,Medroxyprogesterone,Birth Control,10,42311,4,Depo shot EASY FORGET ABOUT THE PILL I started the depo provers shot after having two kids birthed one year one day apart Both times I was on the full pill Was easy price is every three months on health care card Wasnt a stressful process was easy pain free I did bleed the first injection out of the weeks I bled heavily but after second shot I have overcome that and I am extremely happy in the success of this needle Its not costly it doesnt hurt its once every weeks dont need to stress about babies and pregnancy people are different some will bleed some wont Yes a tad weight gain but hey weight is better then an unwanted pregnancy
91,Medroxyprogesterone,Birth Control,10,42310,2,I have been getting the depot for years I absolutely love it I have never had a period or spotting in this time I no longet get cramps i dont crave junk food or sook at that time of the month It is completely hassle free My partner has noticed good changes in my moods I have put on a couple of kilos but i also have thyroid issues Every months i go to my doctor for mins to get a needle and a brief check up and im on my way again Its absolutely amazing I wouldmt use anything else
92,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42309,12,Ive had it and I have break through bleeding here and there very light but lasts for a while Ive noticed a slight shift in mood and I havent brook out as much Still cramps around period time but rarely bleed but my sex drive has depleted completely I hate it Excellent at preventing pregnancy but thats only because you lack the motivation for sex
93,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42309,15,After I had my baby my Dr Suggest that I get on birth control the depot is earlier to take every months So I decided go with that birth control method I got the depot shot Sept th come Oct I get on my period its an irregular period I usually bleed for to days Now I bleed heavier amp longer its been days amp counting Im not due Dec th for another shot Im definitely not continuing this depot shot I been depressed very emotional moody and my attitude has changed since I been on this shot I constantly argue with my boyfriend This shot have a lot of bad side effects but I havent been feeling like my normal self since I been on this shot I wouldnt recommend this shot anyone please go with other options
94,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42307,6,I got the shot at my first weeks check up after I had my baby and I bled months straight it finally stopped and then every other month I will bleed heavy for a few days and it continues on and on I have gained so much weight off of this shot it just makes my body feel funny I wont be continuing this shot Dont take the shot
95,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42307,11,I took this birth control about a month ago and at first I loved it I was spotting for about a week after I got it and then I stopped for maybe a month days ago I started spotting a brown color period blood No its very prominent heavy and red Ive been on this period for days now and Im sick of it Im very moody and ALWAYS hungry Always tired and always have headaches Im never irritable and this is not me Ive gained pounds And yeah this medicine helps prevent pregnancy but only because you cant have Sex Your always bleeding an moody Who wants to have sex under those predicaments I would never recommend this medicine to anyone An I sure am never ever getting it again
96,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42307,31,So my doctor prescribed me provera mg for days amp it completely stopped the bleeding thank god days later i got my peeiod with the worse cramps ever and i was bleeding really heavy with lots of bloods clots It was so uncomfortable
99,Medroxyprogesterone,Birth Control,3,42305,0,I decided to start taking the birth control shot after the birth of my son I figured it would be worth the convenience of getting the shot every months and not having to remember to take a pill Ever since Ive started getting the injections my side affects has been SEVERE mood swings DECREASE in my libido cramping and nausea Ive never liked the idea of not having a regular cycle however taking birth control does alter your menstrual cycle Im going to have to consider other options for birth control I cant deal with my severe mood swings Im starting to lash out against my family and it hurts Im a young year old and my sex drive has gone completely down hill
100,Medroxyprogesterone,Birth Control,5,42233,2,Depo was not for me but that does not mean it wont work for you It definitely did its job preventing pregnancy I was told the shot lasted months After my three months I didnt go back to get another shot because my husband and I wanted to have a baby It didnt happen for over a year AFTER those three months passed We had another child so it wasnt because Im not fertile I was also suicidal after getting depo Not your average depressed but actually suicidal and so crazy depressed that I wanted to die and had no clue why I lost a lot of hair when I would brush it I didnt gain weight My worst side effect was the depression It was unbearable to the point that I almost took my own life But it surely can prevent pregnancy
101,Medroxyprogesterone,Birth Control,10,42231,17,Ive been on this medicine for years now and have not had any negative side effects For those of you reading this you shouldnt let somebody elses review determine what her or not you take this medicine that should be decided after a long talk between you and your doctor Every bodys body is different so these reviews can not give a completely accurate description of whats going to happen to your body Im my experience I had irregular bleeding for about months but that is the time it took my body to adjust to the medication If you have irregular or constant bleeding for more than six months which is two cycles of the medication then you may want to talk to your doctor because the medication might not be the right one for you
102,Medroxyprogesterone,Birth Control,10,42230,5,I have had no negative side effects wit this birth control I have tried about ten different kinds of birth control pills before trying Depo and all of the pills made me an emotional mess I have no complaints about Depo I didnt gain weight no periods no crazy emotions
103,Medroxyprogesterone,Birth Control,2,42230,7,I didnt get pregnant which is the only reason Im rating this a I have been bleeding for days straight as of today Since I got the shot I have experienced severe fatigue hour long headaches appetite issues inability to get out of bed and horrible cystic acne
104,Medroxyprogesterone,Endometriosis,1,42229,18,I have been on the shot for almost two months and I absolutely hate it When I got the shot I was actually due for my period and never got it I ended up getting my period about weeks ago and have not stopped bleeding I can not have sex I cant wear white pants because its so heavy I cant go to the bathroom number or number because it hurts so bad I have had horrible cramps I dont sleep Im exhausted all the time and I am constantly feeling grumpy At this point I almost feel like nothing is going to help my endometeriosis Im years old and due to be married in a month and I cant even have sex because it hurts so bad I would not recamend this shot its a waste of time and causes false hope
106,Medroxyprogesterone,Birth Control,10,42226,1,Ive been on the shot for about a year now and i absolutely hate it Ive gained so much weight and were talking like lbs Its like i cant stop eating My cravings are absolutely horrible Im always hungry I work out here and there but i cant seem to lose the weight Im years old This birth control method is not something i would suggest to anyone except for the fact that it is very effective against pregnancy
107,Medroxyprogesterone,Birth Control,4,42226,1,So Ive been going back and forth between Sprintec and Depo for the last year I was on Sprintec from the age of because of horrible cramping I loved the pill but could never remember to take it so I was on my period all of the time I tried depo I dont really remember the first time taking it except for having some vaginal dryness and I lost my boobs at years old not the most exciting combination So I got back on the pill same issues of forgetting to take it and went back to depo for some reason I cant explain to myself It was a horrible decision My mood swings are ridiculous my anger is out of control Im constantly bloated Ive become very constipated spotting comes out of no where and Im constantly exhausted
108,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42226,10,Ive been on the depo two times now The first time started in and I took it for years I had no problems at all with it Then in February I decided to get back on it and the first shot went good until towards the end of it and I started spotting Didnt think to much of it since I had been off it for a few months I thought it was just normal Got my second shot in may It has been a terrible experience Ive bled literally the whole months Me and my boyfriend cant have sex because that just makes it worse My sex drive has plummeted Im due for another shot sometime this month Not gonna get it I actually have a dr Appt tomorrow regarding the bleeding I Dont recommend No one should have to go thru this
110,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42225,24,This was awful I got my first shot at UVA two days after my first baby was born They pushed it in me and didnt mention any side effects Stopped bleeding from giving birth three weeks later After about a week it started again and hasnt stopped I got a second shot because they told me that can happen from my body getting used to the hormones But I never went back for my third Over six months later Im still bleeding almost a month after I shouldve gone in for a third shot I dont know what to do Its exhausting Im constantly tired moody and depressed and I want to eat everything in sight I wouldnt recommend this method of birth control for anyone
